customer_id,company_name,tier,industry,country,signup_date,subscription_id,plan_type,billing_cycle,mrr,seats_purchased,start_date,end_date,status,churn_reason,license_utilization_rate,feature_adoption_score,weekly_active_days,api_calls_monthly,last_active_days_ago,total_tickets,avg_resolution_time_hrs,escalated_tickets_count,csat_score,churn_label
CUST-10000,Apex Logic 100,Mid-Market,Healthcare,United States,2024-01-01,SUB-20000,Scale,Annual,1905.26,74,2024-01-01,,Active,,0.575,62,4,6193,1,4,7.1,0,4.4,0
CUST-10001,Cloud Hub 100,SMB,E-Commerce,United States,2024-01-01,SUB-20001,Starter,Monthly,725.56,7,2024-01-01,2024-10-30,Churned,Support / SLA Frustration,0.656,62,1,18311,2,1,119.1,1,3.2,1
CUST-10002,Data Pay 100,SMB,Logistics & Supply Chain,United States,2024-01-01,SUB-20002,Growth,Annual,381.12,5,2024-01-01,,Active,,0.725,85,4,14694,2,3,20.7,0,4.3,0
CUST-10003,Nova Works 100,SMB,Healthcare,United Kingdom,2024-01-01,SUB-20003,Starter,Monthly,335.45,22,2024-01-01,2024-09-22,Churned,Support / SLA Frustration,0.437,76,6,4698,4,7,72.4,3,1.5,1
CUST-10004,Pulse Security 100,Mid-Market,Logistics & Supply Chain,United States,2024-01-01,SUB-20004,Scale,Monthly,2637.31,43,2024-01-01,,Active,,0.506,51,3,15478,11,5,6.3,0,4.9,0
CUST-10005,Stratum Analytics 100,Mid-Market,Fintech,Germany,2024-01-01,SUB-20005,Growth,Annual,1846.83,75,2024-01-01,,Active,,0.947,71,3,22081,3,5,19.8,0,4.6,0
CUST-10006,Sync Tech 100,Enterprise,SaaS / Tech,United States,2024-01-01,SUB-20006,Enterprise Plus,Annual,6512.71,108,2024-01-01,,Active,,0.189,31,7,28070,1,3,13.7,0,4.9,0
CUST-10007,Vanguard Sphere 100,SMB,Logistics & Supply Chain,United Kingdom,2024-01-01,SUB-20007,Starter,Annual,614.83,7,2024-01-01,2024-02-24,Churned,Support / SLA Frustration,0.704,83,2,44570,2,3,87.5,2,2.1,1
CUST-10008,Omni Labs 100,SMB,Fintech,Canada,2024-01-01,SUB-20008,Growth,Monthly,166.23,21,2024-01-01,,Active,,0.52,73,6,39573,0,3,13.3,0,3.8,0
CUST-10009,Hyper Flow 100,SMB,Healthcare,Canada,2024-01-02,SUB-20009,Starter,Annual,683.65,5,2024-01-02,,Active,,0.174,32,3,9849,9,2,82.4,1,2.9,0
CUST-10010,Zenith Corp 100,Enterprise,Fintech,India,2024-01-02,SUB-20010,Scale,Annual,14076.6,215,2024-01-02,,Active,,0.373,90,5,53755,3,5,75.7,2,1.3,0
CUST-10011,Quantum Stack 100,SMB,SaaS / Tech,Canada,2024-01-03,SUB-20011,Starter,Monthly,317.63,8,2024-01-03,,Active,,0.685,73,5,49237,13,7,7.2,0,4.8,0
CUST-10012,Nexus AI 100,SMB,E-Commerce,India,2024-01-03,SUB-20012,Starter,Monthly,147.43,20,2024-01-03,,Active,,0.548,29,5,56387,3,7,110.3,2,2.6,0
CUST-10013,Vertex Scale 100,Mid-Market,E-Commerce,United States,2024-01-03,SUB-20013,Growth,Annual,3057.83,97,2024-01-03,2024-04-27,Churned,Support / SLA Frustration,0.942,61,4,16031,7,5,87.8,3,3.1,1
CUST-10014,Blue Systems 100,Mid-Market,Fintech,United Kingdom,2024-01-03,SUB-20014,Growth,Annual,3547.36,75,2024-01-03,,Active,,0.623,30,5,2060,7,5,3.9,0,4.6,0
CUST-10015,Apex Logic 101,Mid-Market,Fintech,United States,2024-01-03,SUB-20015,Growth,Monthly,3062.28,82,2024-01-03,2024-06-04,Churned,Internal Restructuring,0.544,59,4,48513,4,2,21.3,0,4.2,1
CUST-10016,Cloud Hub 101,Mid-Market,Fintech,United States,2024-01-03,SUB-20016,Scale,Annual,1750.89,72,2024-01-03,,Active,,1.0,81,6,36416,5,5,119.2,2,1.6,0
CUST-10017,Data Pay 101,SMB,Healthcare,United States,2024-01-03,SUB-20017,Starter,Monthly,384.59,8,2024-01-03,,Active,,0.888,41,3,58801,21,5,9.7,0,4.6,0
CUST-10018,Nova Works 101,Mid-Market,E-Commerce,United States,2024-01-03,SUB-20018,Growth,Monthly,3217.92,61,2024-01-03,,Active,,0.519,61,5,5246,9,3,20.8,0,4.0,0
CUST-10019,Pulse Security 101,Mid-Market,Logistics & Supply Chain,United States,2024-01-04,SUB-20019,Growth,Annual,3180.25,55,2024-01-04,,Active,,0.455,61,4,13913,7,7,78.1,4,1.5,0
CUST-10020,Stratum Analytics 101,SMB,SaaS / Tech,United States,2024-01-04,SUB-20020,Starter,Monthly,271.97,20,2024-01-04,,Active,,0.682,46,3,60157,7,5,7.3,0,4.3,0
CUST-10021,Sync Tech 101,Enterprise,Healthcare,United States,2024-01-04,SUB-20021,Scale,Annual,7320.03,126,2024-01-04,,Active,,0.461,81,3,1744,10,7,20.6,0,3.8,0
CUST-10022,Vanguard Sphere 101,Mid-Market,Cybersecurity,India,2024-01-04,SUB-20022,Growth,Annual,2950.01,80,2024-01-04,,Active,,0.812,70,4,53401,10,7,21.2,0,4.4,0
CUST-10023,Omni Labs 101,Mid-Market,SaaS / Tech,United States,2024-01-04,SUB-20023,Scale,Annual,2731.9,68,2024-01-04,2024-06-04,Churned,Support / SLA Frustration,0.427,70,5,7911,0,3,67.8,1,2.6,1
CUST-10024,Hyper Flow 101,Mid-Market,Cybersecurity,Canada,2024-01-05,SUB-20024,Growth,Monthly,3647.02,39,2024-01-05,,Active,,0.853,46,4,52627,3,4,20.8,0,4.8,0
CUST-10025,Zenith Corp 101,SMB,E-Commerce,United States,2024-01-05,SUB-20025,Growth,Annual,314.29,10,2024-01-05,,Active,,0.813,69,1,15097,14,0,4.0,0,4.9,0
CUST-10026,Quantum Stack 101,Mid-Market,Healthcare,India,2024-01-05,SUB-20026,Scale,Annual,3458.81,87,2024-01-05,2024-11-24,Churned,Low Adoption & License Waste,0.311,62,2,7321,0,3,4.0,0,4.8,1
CUST-10027,Nexus AI 101,SMB,Fintech,India,2024-01-05,SUB-20027,Starter,Monthly,707.76,21,2024-01-05,2024-12-29,Churned,Support / SLA Frustration,0.866,67,3,30443,11,8,85.8,4,3.1,1
CUST-10028,Vertex Scale 101,SMB,SaaS / Tech,United Kingdom,2024-01-05,SUB-20028,Starter,Monthly,477.17,16,2024-01-05,,Active,,0.648,43,3,9554,5,4,68.8,2,2.9,0
CUST-10029,Blue Systems 101,Enterprise,Fintech,United Kingdom,2024-01-06,SUB-20029,Enterprise Plus,Annual,5554.64,242,2024-01-06,,Active,,0.511,67,4,5670,20,7,4.2,0,3.8,0
CUST-10030,Apex Logic 102,SMB,Healthcare,United States,2024-01-06,SUB-20030,Starter,Monthly,726.73,16,2024-01-06,2024-06-09,Churned,Competitor Alternative,0.928,72,5,13894,1,5,19.6,0,4.7,1
CUST-10031,Cloud Hub 102,Mid-Market,E-Commerce,Australia,2024-01-06,SUB-20031,Scale,Annual,2916.39,30,2024-01-06,,Active,,0.584,83,5,137845,9,5,13.6,0,4.1,0
CUST-10032,Data Pay 102,Enterprise,E-Commerce,Germany,2024-01-06,SUB-20032,Scale,Annual,8689.19,119,2024-01-06,,Active,,0.605,50,2,39283,4,3,19.9,0,4.0,0
CUST-10033,Nova Works 102,SMB,E-Commerce,India,2024-01-06,SUB-20033,Growth,Monthly,159.76,6,2024-01-06,,Active,,0.67,70,5,19000,0,5,22.6,0,3.9,0
CUST-10034,Pulse Security 102,SMB,Fintech,United Kingdom,2024-01-06,SUB-20034,Starter,Annual,607.81,11,2024-01-06,,Active,,0.731,65,4,42029,5,6,9.0,0,4.6,0
CUST-10035,Stratum Analytics 102,SMB,Healthcare,United States,2024-01-06,SUB-20035,Growth,Annual,430.51,18,2024-01-06,,Active,,0.728,22,6,20006,1,3,13.6,0,4.4,0
CUST-10036,Sync Tech 102,Mid-Market,E-Commerce,India,2024-01-06,SUB-20036,Scale,Monthly,3581.98,42,2024-01-06,2024-02-09,Churned,Competitor Alternative,1.0,67,4,31148,12,2,12.8,0,4.4,1
CUST-10037,Vanguard Sphere 102,Enterprise,Cybersecurity,United States,2024-01-07,SUB-20037,Enterprise Plus,Monthly,5551.57,122,2024-01-07,,Active,,0.632,54,4,15972,0,3,4.0,0,4.2,0
CUST-10038,Omni Labs 102,SMB,SaaS / Tech,United Kingdom,2024-01-07,SUB-20038,Starter,Monthly,283.72,8,2024-01-07,,Active,,0.608,70,3,584,19,4,8.9,0,4.5,0
CUST-10039,Hyper Flow 102,Mid-Market,Cybersecurity,United States,2024-01-07,SUB-20039,Growth,Monthly,1620.82,47,2024-01-07,,Active,,0.653,68,4,7326,14,2,4.4,0,5.0,0
CUST-10040,Zenith Corp 102,Enterprise,SaaS / Tech,India,2024-01-07,SUB-20040,Enterprise Plus,Monthly,13609.01,413,2024-01-07,,Active,,0.527,69,4,10443,6,4,18.0,0,4.8,0
CUST-10041,Quantum Stack 102,Mid-Market,E-Commerce,United States,2024-01-07,SUB-20041,Growth,Annual,2217.38,85,2024-01-07,,Active,,0.925,80,5,24401,1,4,21.7,0,4.6,0
CUST-10042,Nexus AI 102,Enterprise,Fintech,United States,2024-01-07,SUB-20042,Enterprise Plus,Annual,17848.42,128,2024-01-07,,Active,,0.897,49,4,5684,6,8,77.2,4,1.5,0
CUST-10043,Vertex Scale 102,SMB,SaaS / Tech,United Kingdom,2024-01-07,SUB-20043,Starter,Annual,362.15,7,2024-01-07,2024-04-12,Churned,Support / SLA Frustration,0.741,91,1,24350,8,8,92.3,4,2.7,1
CUST-10044,Blue Systems 102,Mid-Market,E-Commerce,Canada,2024-01-07,SUB-20044,Scale,Annual,1815.8,38,2024-01-07,,Active,,0.563,85,2,46631,11,9,3.1,0,3.9,0
CUST-10045,Apex Logic 103,SMB,E-Commerce,United Kingdom,2024-01-07,SUB-20045,Growth,Monthly,694.58,24,2024-01-07,2024-06-12,Churned,Support / SLA Frustration,0.725,51,3,2316,5,4,111.2,1,2.2,1
CUST-10046,Cloud Hub 103,Mid-Market,E-Commerce,United States,2024-01-08,SUB-20046,Growth,Annual,1461.81,41,2024-01-08,2024-06-02,Churned,Support / SLA Frustration,0.76,55,6,52800,2,2,57.7,1,1.5,1
CUST-10047,Data Pay 103,SMB,E-Commerce,United States,2024-01-08,SUB-20047,Growth,Annual,152.36,17,2024-01-08,,Active,,1.0,63,3,23034,0,5,105.2,1,1.9,0
CUST-10048,Nova Works 103,SMB,Healthcare,Canada,2024-01-08,SUB-20048,Starter,Monthly,354.28,21,2024-01-08,,Active,,0.307,80,4,22661,17,2,23.0,0,4.5,0
