customer_id,license_utilization_rate,feature_adoption_score,weekly_active_days,api_calls_monthly,last_active_days_ago
CUST-10000,0.575,62,4,6193,1
CUST-10001,0.656,62,1,18311,2
CUST-10002,0.725,85,4,14694,2
CUST-10003,0.437,76,6,4698,4
CUST-10004,0.506,51,3,15478,11
CUST-10005,0.947,71,3,22081,3
CUST-10006,0.189,31,7,28070,1
CUST-10007,0.704,83,2,44570,2
CUST-10008,0.52,73,6,39573,0
CUST-10009,0.174,32,3,9849,9
CUST-10010,0.373,90,5,53755,3
CUST-10011,0.685,73,5,49237,13
CUST-10012,0.548,29,5,56387,3
CUST-10013,0.942,61,4,16031,7
CUST-10014,0.623,30,5,2060,7
CUST-10015,0.544,59,4,48513,4
CUST-10016,1.0,81,6,36416,5
CUST-10017,0.888,41,3,58801,21
CUST-10018,0.519,61,5,5246,9
CUST-10019,0.455,61,4,13913,7
CUST-10020,0.682,46,3,60157,7
CUST-10021,0.461,81,3,1744,10
CUST-10022,0.812,70,4,53401,10
CUST-10023,0.427,70,5,7911,0
CUST-10024,0.853,46,4,52627,3
CUST-10025,0.813,69,1,15097,14
CUST-10026,0.311,62,2,7321,0
CUST-10027,0.866,67,3,30443,11
CUST-10028,0.648,43,3,9554,5
CUST-10029,0.511,67,4,5670,20
CUST-10030,0.928,72,5,13894,1
CUST-10031,0.584,83,5,137845,9
CUST-10032,0.605,50,2,39283,4
CUST-10033,0.67,70,5,19000,0
CUST-10034,0.731,65,4,42029,5
CUST-10035,0.728,22,6,20006,1
CUST-10036,1.0,67,4,31148,12
CUST-10037,0.632,54,4,15972,0
CUST-10038,0.608,70,3,584,19
CUST-10039,0.653,68,4,7326,14
CUST-10040,0.527,69,4,10443,6
CUST-10041,0.925,80,5,24401,1
CUST-10042,0.897,49,4,5684,6
CUST-10043,0.741,91,1,24350,8
CUST-10044,0.563,85,2,46631,11
CUST-10045,0.725,51,3,2316,5
CUST-10046,0.76,55,6,52800,2
CUST-10047,1.0,63,3,23034,0
CUST-10048,0.307,80,4,22661,17
CUST-10049,0.92,60,6,16698,6
CUST-10050,0.929,53,3,6680,6
CUST-10051,0.615,98,6,10213,13
CUST-10052,0.882,10,5,19995,2
CUST-10053,0.735,79,1,23724,3
CUST-10054,0.659,87,6,42056,16
CUST-10055,0.787,88,1,3095,20
CUST-10056,0.649,10,1,19258,0
CUST-10057,0.58,67,4,66058,7
CUST-10058,0.489,53,4,30343,2
CUST-10059,0.695,82,3,28928,3
CUST-10060,0.735,75,3,9580,21
CUST-10061,0.631,98,4,20657,0
CUST-10062,1.0,68,3,8498,5
CUST-10063,0.556,77,3,14233,2
CUST-10064,0.706,95,5,11981,11
CUST-10065,0.635,38,4,24221,2
CUST-10066,0.877,50,4,8372,6
CUST-10067,0.73,79,2,55055,0
CUST-10068,0.871,89,3,24292,2
CUST-10069,0.968,96,5,60611,1
CUST-10070,0.567,100,3,31359,3
CUST-10071,0.99,100,5,3887,5
CUST-10072,0.463,73,6,922,0
CUST-10073,0.579,100,3,47305,11
CUST-10074,0.678,27,3,73375,3
CUST-10075,0.744,83,4,3647,0
CUST-10076,0.488,98,2,34139,1
CUST-10077,0.569,94,4,62242,7
CUST-10078,1.0,32,5,55359,16
CUST-10079,0.783,60,5,34922,10
CUST-10080,1.0,70,4,16523,19
CUST-10081,0.66,68,4,1967,3
CUST-10082,0.792,62,5,45488,22
CUST-10083,0.724,60,7,73756,3
CUST-10084,0.546,27,3,57649,0
CUST-10085,0.23,63,6,12310,3
CUST-10086,1.0,58,4,45204,7
CUST-10087,0.873,86,1,27976,0
CUST-10088,0.389,91,3,13339,1
CUST-10089,0.552,61,3,23848,0
CUST-10090,0.522,55,1,10317,10
CUST-10091,1.0,50,4,9266,21
CUST-10092,0.696,42,0,19341,1
CUST-10093,0.584,71,2,67927,0
CUST-10094,0.582,100,5,15742,5
CUST-10095,0.601,51,4,23090,3
CUST-10096,0.74,52,5,5194,3
CUST-10097,0.732,39,7,24714,3
CUST-10098,0.514,83,5,1767,1
CUST-10099,0.846,82,1,41995,0
CUST-10100,0.551,40,4,16752,2
CUST-10101,0.409,23,4,11009,1
CUST-10102,0.198,100,2,14137,2
CUST-10103,0.62,100,4,16815,0
CUST-10104,0.577,66,5,2858,17
CUST-10105,0.627,72,4,50314,0
CUST-10106,0.628,53,3,7500,6
CUST-10107,0.854,62,3,9254,11
CUST-10108,1.0,72,6,77820,4
CUST-10109,0.477,47,4,12868,11
CUST-10110,0.513,100,2,6631,2
CUST-10111,0.734,82,4,11954,4
CUST-10112,0.811,53,1,74024,13
CUST-10113,1.0,80,4,21297,10
CUST-10114,0.524,64,3,10792,2
CUST-10115,0.59,85,5,5348,2
CUST-10116,0.611,34,4,68020,15
CUST-10117,0.908,100,2,7044,27
CUST-10118,0.899,53,2,3241,4
CUST-10119,0.452,55,3,6926,1
CUST-10120,0.166,69,4,39249,5
CUST-10121,0.525,68,6,18932,4
CUST-10122,0.439,44,3,22716,7
CUST-10123,0.728,43,3,6500,0
CUST-10124,0.691,38,4,13245,2
CUST-10125,0.439,76,5,110841,1
CUST-10126,0.721,87,5,71956,7
CUST-10127,0.745,65,1,24366,10
CUST-10128,0.432,96,3,65013,0
CUST-10129,0.676,88,4,14155,9
CUST-10130,1.0,52,6,23063,0
CUST-10131,0.202,59,4,4551,4
CUST-10132,0.454,72,3,63847,2
CUST-10133,0.995,76,3,21471,2
CUST-10134,0.485,59,4,17949,13
CUST-10135,0.689,65,6,5795,8
CUST-10136,0.448,51,4,2951,9
CUST-10137,0.426,17,2,546,10
CUST-10138,0.065,61,6,15931,1
CUST-10139,0.284,46,2,121116,2
CUST-10140,0.819,58,2,20401,5
CUST-10141,0.241,58,4,43209,1
CUST-10142,0.512,57,5,35692,6
CUST-10143,1.0,61,3,18194,2
CUST-10144,0.783,61,3,36705,5
CUST-10145,0.974,48,3,7745,17
CUST-10146,0.965,67,3,55408,4
CUST-10147,0.59,64,5,4721,6
CUST-10148,0.507,58,2,17538,9
CUST-10149,0.587,52,7,3665,18
CUST-10150,0.495,48,6,104119,20
CUST-10151,0.845,65,5,5058,5
CUST-10152,0.173,56,6,28597,16
CUST-10153,0.606,34,3,3772,6
CUST-10154,0.62,75,4,4389,6
CUST-10155,0.93,58,4,13239,9
CUST-10156,0.319,76,3,56735,4
CUST-10157,0.417,56,5,39320,8
CUST-10158,0.539,45,2,6335,7
CUST-10159,0.874,100,2,28696,33
CUST-10160,0.92,98,4,11605,0
CUST-10161,0.531,89,2,53635,0
CUST-10162,0.295,75,5,65833,0
CUST-10163,1.0,40,4,19738,11
CUST-10164,0.657,83,3,658,11
CUST-10165,0.887,42,2,2509,10
CUST-10166,0.64,16,4,36889,14
CUST-10167,0.319,66,5,115714,2
CUST-10168,0.745,62,7,36412,7
CUST-10169,0.787,81,7,16809,33
CUST-10170,0.557,62,3,19519,0
CUST-10171,0.849,79,4,32566,1
CUST-10172,0.681,10,2,2539,16
CUST-10173,1.0,97,5,7373,8
CUST-10174,0.643,92,5,47388,3
CUST-10175,0.714,90,5,1115,5
CUST-10176,0.852,45,3,11226,8
CUST-10177,0.381,76,4,132921,2
CUST-10178,1.0,76,1,5037,0
CUST-10179,0.959,60,4,24922,0
CUST-10180,0.74,55,3,15926,3
CUST-10181,0.722,100,5,8810,3
CUST-10182,0.688,87,7,51259,10
CUST-10183,1.0,50,3,12409,2
CUST-10184,0.653,60,7,10425,4
CUST-10185,0.411,74,2,13598,11
CUST-10186,0.392,25,2,4763,9
CUST-10187,0.753,86,2,3062,10
CUST-10188,0.056,73,6,12547,1
CUST-10189,0.986,82,3,2209,4
CUST-10190,0.46,50,6,24564,9
CUST-10191,0.703,100,5,14658,15
CUST-10192,1.0,70,1,7074,0
CUST-10193,0.759,48,6,12824,15
CUST-10194,0.505,70,3,20613,4
CUST-10195,0.873,59,4,6433,0
CUST-10196,0.926,62,7,4750,1
CUST-10197,0.828,88,4,1595,4
CUST-10198,0.686,55,6,4227,1
CUST-10199,0.858,69,4,11503,3
CUST-10200,0.525,65,3,30906,3
CUST-10201,0.88,56,4,55674,1
CUST-10202,0.934,80,1,95808,1
CUST-10203,0.81,47,4,556,1
CUST-10204,0.852,45,6,18072,6
CUST-10205,0.622,100,6,7037,2
CUST-10206,0.725,56,7,6278,3
CUST-10207,0.646,76,2,47601,8
CUST-10208,0.535,87,4,127919,3
CUST-10209,0.376,98,3,39297,11
CUST-10210,0.786,75,2,28011,10
CUST-10211,1.0,41,2,11028,4
CUST-10212,0.775,41,3,67577,11
CUST-10213,0.39,72,6,50835,9
CUST-10214,0.737,81,5,44740,15
