subscription_id,customer_id,plan_type,billing_cycle,mrr,seats_purchased,start_date,end_date,status,churn_reason
SUB-20000,CUST-10000,Scale,Annual,1905.26,74,2024-01-01,,Active,
SUB-20001,CUST-10001,Starter,Monthly,725.56,7,2024-01-01,2024-10-30,Churned,Support / SLA Frustration
SUB-20002,CUST-10002,Growth,Annual,381.12,5,2024-01-01,,Active,
SUB-20003,CUST-10003,Starter,Monthly,335.45,22,2024-01-01,2024-09-22,Churned,Support / SLA Frustration
SUB-20004,CUST-10004,Scale,Monthly,2637.31,43,2024-01-01,,Active,
SUB-20005,CUST-10005,Growth,Annual,1846.83,75,2024-01-01,,Active,
SUB-20006,CUST-10006,Enterprise Plus,Annual,6512.71,108,2024-01-01,,Active,
SUB-20007,CUST-10007,Starter,Annual,614.83,7,2024-01-01,2024-02-24,Churned,Support / SLA Frustration
SUB-20008,CUST-10008,Growth,Monthly,166.23,21,2024-01-01,,Active,
SUB-20009,CUST-10009,Starter,Annual,683.65,5,2024-01-02,,Active,
SUB-20010,CUST-10010,Scale,Annual,14076.6,215,2024-01-02,,Active,
SUB-20011,CUST-10011,Starter,Monthly,317.63,8,2024-01-03,,Active,
SUB-20012,CUST-10012,Starter,Monthly,147.43,20,2024-01-03,,Active,
SUB-20013,CUST-10013,Growth,Annual,3057.83,97,2024-01-03,2024-04-27,Churned,Support / SLA Frustration
SUB-20014,CUST-10014,Growth,Annual,3547.36,75,2024-01-03,,Active,
SUB-20015,CUST-10015,Growth,Monthly,3062.28,82,2024-01-03,2024-06-04,Churned,Internal Restructuring
SUB-20016,CUST-10016,Scale,Annual,1750.89,72,2024-01-03,,Active,
SUB-20017,CUST-10017,Starter,Monthly,384.59,8,2024-01-03,,Active,
SUB-20018,CUST-10018,Growth,Monthly,3217.92,61,2024-01-03,,Active,
SUB-20019,CUST-10019,Growth,Annual,3180.25,55,2024-01-04,,Active,
SUB-20020,CUST-10020,Starter,Monthly,271.97,20,2024-01-04,,Active,
SUB-20021,CUST-10021,Scale,Annual,7320.03,126,2024-01-04,,Active,
SUB-20022,CUST-10022,Growth,Annual,2950.01,80,2024-01-04,,Active,
SUB-20023,CUST-10023,Scale,Annual,2731.9,68,2024-01-04,2024-06-04,Churned,Support / SLA Frustration
SUB-20024,CUST-10024,Growth,Monthly,3647.02,39,2024-01-05,,Active,
SUB-20025,CUST-10025,Growth,Annual,314.29,10,2024-01-05,,Active,
SUB-20026,CUST-10026,Scale,Annual,3458.81,87,2024-01-05,2024-11-24,Churned,Low Adoption & License Waste
SUB-20027,CUST-10027,Starter,Monthly,707.76,21,2024-01-05,2024-12-29,Churned,Support / SLA Frustration
SUB-20028,CUST-10028,Starter,Monthly,477.17,16,2024-01-05,,Active,
SUB-20029,CUST-10029,Enterprise Plus,Annual,5554.64,242,2024-01-06,,Active,
SUB-20030,CUST-10030,Starter,Monthly,726.73,16,2024-01-06,2024-06-09,Churned,Competitor Alternative
SUB-20031,CUST-10031,Scale,Annual,2916.39,30,2024-01-06,,Active,
SUB-20032,CUST-10032,Scale,Annual,8689.19,119,2024-01-06,,Active,
SUB-20033,CUST-10033,Growth,Monthly,159.76,6,2024-01-06,,Active,
SUB-20034,CUST-10034,Starter,Annual,607.81,11,2024-01-06,,Active,
SUB-20035,CUST-10035,Growth,Annual,430.51,18,2024-01-06,,Active,
SUB-20036,CUST-10036,Scale,Monthly,3581.98,42,2024-01-06,2024-02-09,Churned,Competitor Alternative
SUB-20037,CUST-10037,Enterprise Plus,Monthly,5551.57,122,2024-01-07,,Active,
SUB-20038,CUST-10038,Starter,Monthly,283.72,8,2024-01-07,,Active,
SUB-20039,CUST-10039,Growth,Monthly,1620.82,47,2024-01-07,,Active,
SUB-20040,CUST-10040,Enterprise Plus,Monthly,13609.01,413,2024-01-07,,Active,
SUB-20041,CUST-10041,Growth,Annual,2217.38,85,2024-01-07,,Active,
SUB-20042,CUST-10042,Enterprise Plus,Annual,17848.42,128,2024-01-07,,Active,
SUB-20043,CUST-10043,Starter,Annual,362.15,7,2024-01-07,2024-04-12,Churned,Support / SLA Frustration
SUB-20044,CUST-10044,Scale,Annual,1815.8,38,2024-01-07,,Active,
SUB-20045,CUST-10045,Growth,Monthly,694.58,24,2024-01-07,2024-06-12,Churned,Support / SLA Frustration
SUB-20046,CUST-10046,Growth,Annual,1461.81,41,2024-01-08,2024-06-02,Churned,Support / SLA Frustration
SUB-20047,CUST-10047,Growth,Annual,152.36,17,2024-01-08,,Active,
SUB-20048,CUST-10048,Starter,Monthly,354.28,21,2024-01-08,,Active,
SUB-20049,CUST-10049,Growth,Annual,3211.59,96,2024-01-08,,Active,
SUB-20050,CUST-10050,Starter,Monthly,427.14,7,2024-01-08,,Active,
SUB-20051,CUST-10051,Growth,Monthly,613.3,18,2024-01-08,,Active,
SUB-20052,CUST-10052,Starter,Annual,259.04,5,2024-01-08,2024-11-01,Churned,Support / SLA Frustration
SUB-20053,CUST-10053,Starter,Monthly,644.88,12,2024-01-08,,Active,
SUB-20054,CUST-10054,Growth,Monthly,614.47,24,2024-01-09,2024-10-24,Churned,Competitor Alternative
SUB-20055,CUST-10055,Starter,Monthly,511.75,21,2024-01-09,,Active,
SUB-20056,CUST-10056,Enterprise Plus,Annual,7579.01,128,2024-01-09,,Active,
SUB-20057,CUST-10057,Growth,Monthly,3040.32,49,2024-01-09,2024-02-15,Churned,Support / SLA Frustration
SUB-20058,CUST-10058,Enterprise Plus,Annual,8302.08,105,2024-01-09,,Active,
SUB-20059,CUST-10059,Growth,Monthly,3326.03,47,2024-01-09,,Active,
SUB-20060,CUST-10060,Growth,Monthly,3619.44,83,2024-01-10,2025-01-01,Churned,Leadership Transition
SUB-20061,CUST-10061,Scale,Annual,2424.67,42,2024-01-10,,Active,
SUB-20062,CUST-10062,Growth,Monthly,645.23,12,2024-01-10,,Active,
SUB-20063,CUST-10063,Scale,Annual,2176.38,71,2024-01-10,,Active,
SUB-20064,CUST-10064,Growth,Monthly,2563.46,63,2024-01-10,2024-06-28,Churned,Internal Restructuring
SUB-20065,CUST-10065,Growth,Monthly,449.02,23,2024-01-10,,Active,
SUB-20066,CUST-10066,Scale,Annual,12556.64,241,2024-01-11,,Active,
SUB-20067,CUST-10067,Starter,Monthly,374.98,21,2024-01-11,2024-05-03,Churned,Support / SLA Frustration
SUB-20068,CUST-10068,Enterprise Plus,Monthly,15122.87,209,2024-01-11,2024-12-21,Churned,Support / SLA Frustration
SUB-20069,CUST-10069,Starter,Monthly,651.25,5,2024-01-11,,Active,
