customer_id,total_tickets,avg_resolution_time_hrs,escalated_tickets_count,csat_score
CUST-10000,4,7.1,0,4.4
CUST-10001,1,119.1,1,3.2
CUST-10002,3,20.7,0,4.3
CUST-10003,7,72.4,3,1.5
CUST-10004,5,6.3,0,4.9
CUST-10005,5,19.8,0,4.6
CUST-10006,3,13.7,0,4.9
CUST-10007,3,87.5,2,2.1
CUST-10008,3,13.3,0,3.8
CUST-10009,2,82.4,1,2.9
CUST-10010,5,75.7,2,1.3
CUST-10011,7,7.2,0,4.8
CUST-10012,7,110.3,2,2.6
CUST-10013,5,87.8,3,3.1
CUST-10014,5,3.9,0,4.6
CUST-10015,2,21.3,0,4.2
CUST-10016,5,119.2,2,1.6
CUST-10017,5,9.7,0,4.6
CUST-10018,3,20.8,0,4.0
CUST-10019,7,78.1,4,1.5
CUST-10020,5,7.3,0,4.3
CUST-10021,7,20.6,0,3.8
CUST-10022,7,21.2,0,4.4
CUST-10023,3,67.8,1,2.6
CUST-10024,4,20.8,0,4.8
CUST-10025,0,4.0,0,4.9
CUST-10026,3,4.0,0,4.8
CUST-10027,8,85.8,4,3.1
CUST-10028,4,68.8,2,2.9
CUST-10029,7,4.2,0,3.8
CUST-10030,5,19.6,0,4.7
CUST-10031,5,13.6,0,4.1
CUST-10032,3,19.9,0,4.0
CUST-10033,5,22.6,0,3.9
CUST-10034,6,9.0,0,4.6
CUST-10035,3,13.6,0,4.4
CUST-10036,2,12.8,0,4.4
CUST-10037,3,4.0,0,4.2
CUST-10038,4,8.9,0,4.5
CUST-10039,2,4.4,0,5.0
CUST-10040,4,18.0,0,4.8
CUST-10041,4,21.7,0,4.6
CUST-10042,8,77.2,4,1.5
CUST-10043,8,92.3,4,2.7
CUST-10044,9,3.1,0,3.9
CUST-10045,4,111.2,1,2.2
CUST-10046,2,57.7,1,1.5
CUST-10047,5,105.2,1,1.9
CUST-10048,2,23.0,0,4.5
CUST-10049,6,15.5,0,4.8
CUST-10050,8,22.4,0,4.0
CUST-10051,1,22.3,0,4.7
CUST-10052,2,102.1,1,1.3
CUST-10053,6,9.5,0,4.7
CUST-10054,7,17.2,0,4.4
CUST-10055,1,4.5,0,4.3
CUST-10056,7,3.4,0,4.4
CUST-10057,5,87.7,3,1.2
CUST-10058,4,12.2,0,4.2
CUST-10059,3,56.8,0,2.9
CUST-10060,1,23.0,0,3.9
CUST-10061,1,5.3,0,4.5
CUST-10062,4,21.2,0,4.9
CUST-10063,6,14.9,0,4.2
CUST-10064,4,18.6,0,4.1
CUST-10065,3,5.7,0,4.7
CUST-10066,3,6.7,0,5.0
CUST-10067,1,104.6,1,2.3
CUST-10068,6,86.4,3,2.5
CUST-10069,9,20.6,0,4.4
CUST-10070,4,21.1,0,4.7
CUST-10071,4,81.7,1,2.9
CUST-10072,4,16.9,0,5.0
CUST-10073,4,11.9,0,4.4
CUST-10074,4,5.9,0,4.8
CUST-10075,8,14.9,0,4.5
CUST-10076,8,13.9,0,4.9
CUST-10077,3,10.2,0,3.8
CUST-10078,0,4.0,0,4.9
CUST-10079,3,22.2,0,4.6
CUST-10080,7,22.4,0,4.9
CUST-10081,5,60.2,1,3.2
CUST-10082,11,11.2,0,4.7
CUST-10083,6,19.6,0,4.0
CUST-10084,4,10.7,0,4.5
CUST-10085,3,17.8,0,4.0
CUST-10086,5,20.5,0,3.9
CUST-10087,3,87.5,1,2.5
CUST-10088,4,9.1,0,4.3
CUST-10089,4,22.9,0,4.6
CUST-10090,4,114.4,1,2.3
CUST-10091,5,95.0,1,1.4
CUST-10092,2,71.8,0,1.3
CUST-10093,5,11.1,0,4.9
CUST-10094,5,12.6,0,4.3
CUST-10095,6,4.2,0,4.6
CUST-10096,4,117.2,2,1.3
CUST-10097,1,7.0,0,4.1
CUST-10098,3,23.1,0,4.6
CUST-10099,7,6.8,0,3.9
CUST-10100,1,17.2,0,4.4
CUST-10101,4,14.1,0,4.0
CUST-10102,5,118.6,0,2.9
CUST-10103,5,3.3,0,4.6
CUST-10104,2,15.3,0,4.1
CUST-10105,4,2.9,0,4.8
CUST-10106,2,20.5,0,5.0
CUST-10107,5,3.4,0,4.6
CUST-10108,6,64.9,1,1.3
CUST-10109,1,8.1,0,4.3
CUST-10110,4,23.8,0,4.1
CUST-10111,6,7.5,0,4.1
CUST-10112,4,7.1,0,4.5
CUST-10113,1,13.6,0,4.2
CUST-10114,5,17.6,0,5.0
CUST-10115,4,76.4,2,2.5
CUST-10116,4,11.0,0,5.0
CUST-10117,4,15.3,0,4.8
CUST-10118,1,23.6,0,4.0
CUST-10119,5,23.2,0,4.2
CUST-10120,4,21.1,0,3.9
CUST-10121,2,106.8,0,1.4
CUST-10122,1,5.9,0,4.2
CUST-10123,3,15.3,0,3.8
CUST-10124,1,5.6,0,4.3
CUST-10125,3,4.5,0,4.2
CUST-10126,4,103.1,1,2.7
CUST-10127,5,19.1,0,4.4
CUST-10128,4,110.4,3,2.9
CUST-10129,3,4.0,0,4.1
CUST-10130,1,23.7,0,4.8
CUST-10131,2,12.7,0,4.7
CUST-10132,5,5.0,0,4.8
CUST-10133,3,96.8,1,1.8
CUST-10134,4,20.8,0,4.8
CUST-10135,3,13.0,0,3.9
CUST-10136,2,97.3,1,3.2
CUST-10137,6,18.1,0,4.2
CUST-10138,3,77.1,2,1.5
CUST-10139,2,10.3,0,4.6
CUST-10140,5,11.1,0,4.6
CUST-10141,4,62.8,1,3.1
CUST-10142,2,14.2,0,4.2
CUST-10143,3,18.0,0,4.7
CUST-10144,4,3.3,0,4.9
CUST-10145,4,11.9,0,4.4
CUST-10146,3,19.9,0,4.1
CUST-10147,3,96.5,2,2.3
CUST-10148,0,4.0,0,4.7
CUST-10149,1,17.3,0,4.6
CUST-10150,1,10.3,0,3.8
CUST-10151,5,85.2,3,1.5
CUST-10152,4,23.8,0,4.6
CUST-10153,7,2.5,0,4.5
CUST-10154,3,10.2,0,4.9
CUST-10155,5,11.4,0,3.9
CUST-10156,4,4.0,0,4.7
CUST-10157,3,51.4,2,2.0
CUST-10158,2,110.6,0,2.2
CUST-10159,2,11.3,0,4.6
CUST-10160,4,20.7,0,5.0
CUST-10161,5,87.6,2,1.4
CUST-10162,3,55.2,0,2.5
CUST-10163,6,81.7,2,3.1
CUST-10164,3,15.5,0,4.6
CUST-10165,7,95.6,2,1.8
CUST-10166,3,19.9,0,4.1
CUST-10167,7,21.3,0,4.2
CUST-10168,6,49.6,3,1.8
CUST-10169,1,108.3,0,2.4
CUST-10170,2,9.1,0,4.9
CUST-10171,4,69.4,1,1.7
CUST-10172,2,108.8,0,2.5
CUST-10173,4,15.5,0,3.8
CUST-10174,3,13.1,0,4.4
CUST-10175,3,12.0,0,4.7
CUST-10176,5,19.6,0,4.0
CUST-10177,1,2.4,0,4.1
CUST-10178,7,69.2,3,1.4
CUST-10179,9,59.4,2,1.5
CUST-10180,3,10.4,0,4.3
CUST-10181,4,8.6,0,3.9
CUST-10182,2,16.6,0,4.1
CUST-10183,5,2.5,0,4.6
CUST-10184,8,4.5,0,3.9
CUST-10185,4,18.2,0,4.8
CUST-10186,2,68.2,1,2.7
CUST-10187,3,5.2,0,3.9
CUST-10188,4,20.0,0,3.8
CUST-10189,5,13.3,0,3.8
CUST-10190,3,68.3,0,1.7
CUST-10191,6,69.7,4,3.0
CUST-10192,7,7.8,0,4.6
CUST-10193,8,12.7,0,4.2
CUST-10194,4,18.8,0,4.7
CUST-10195,1,101.8,0,2.3
CUST-10196,9,15.4,0,4.9
CUST-10197,6,18.7,0,3.9
CUST-10198,3,6.1,0,4.5
CUST-10199,3,20.5,0,4.0
